declarationId,senderReference,receiverReference,goodsCategoryCode,riskAssessmentCode,originCountry,declaredValue,weightKg
DEC-00056,SND-0203,RCV-0125,CAT-073,RISK-01,DE,2172.56,73.8
DEC-00057,SND-0220,RCV-0154,CAT-080,RISK-06,PL,2209.57,75.1
DEC-00058,SND-0237,RCV-0183,CAT-007,RISK-11,NL,2246.58,76.4
DEC-00059,SND-0004,RCV-0212,CAT-014,RISK-16,CN,2283.59,77.7
DEC-00060,SND-0021,RCV-0241,CAT-021,RISK-01,US,2320.60,79.0
DEC-00061,SND-0038,RCV-0020,CAT-028,RISK-06,EE,2357.61,80.3
DEC-00062,SND-0055,RCV-0049,CAT-035,RISK-11,LV,2394.62,81.6
DEC-00063,SND-0072,RCV-0078,CAT-042,RISK-16,LT,2431.63,82.9
DEC-00064,SND-0089,RCV-0107,CAT-049,RISK-01,FI,2468.64,84.2
DEC-00065,SND-0106,RCV-0136,CAT-056,RISK-06,SE,2505.65,85.5
DEC-00066,SND-0123,RCV-0165,CAT-063,RISK-11,DE,2542.66,86.8
DEC-00067,SND-0140,RCV-0194,CAT-070,RISK-16,PL,2579.67,88.1
DEC-00068,SND-0157,RCV-0223,CAT-077,RISK-01,NL,2616.68,89.4
DEC-00069,SND-0174,RCV-0002,CAT-004,RISK-06,CN,2653.69,90.7
DEC-00070,SND-0191,RCV-0031,CAT-011,RISK-11,US,2690.70,92.0
DEC-00071,SND-0208,RCV-0060,CAT-018,RISK-16,EE,2727.71,93.3
DEC-00072,SND-0225,RCV-0089,CAT-025,RISK-01,LV,2764.72,94.6
DEC-00073,SND-0242,RCV-0118,CAT-032,RISK-06,LT,2801.73,95.9
DEC-00074,SND-0009,RCV-0147,CAT-039,RISK-11,FI,2838.74,97.2
DEC-00075,SND-0026,RCV-0176,CAT-046,RISK-16,SE,2875.75,98.5
DEC-00076,SND-0043,RCV-0205,CAT-053,RISK-01,DE,2912.76,99.8
DEC-00077,SND-0060,RCV-0234,CAT-060,RISK-06,PL,2949.77,101.1
DEC-00078,SND-0077,RCV-0013,CAT-067,RISK-11,NL,2986.78,102.4
DEC-00079,SND-0094,RCV-0042,CAT-074,RISK-16,CN,3023.79,103.7
DEC-00080,SND-0111,RCV-0071,CAT-001,RISK-01,US,3060.80,105.0
DEC-00081,SND-0128,RCV-0100,CAT-008,RISK-06,EE,3097.81,106.3
DEC-00082,SND-0145,RCV-0129,CAT-015,RISK-11,LV,3134.82,107.6
DEC-00083,SND-0162,RCV-0158,CAT-022,RISK-16,LT,3171.83,108.9
DEC-00084,SND-0179,RCV-0187,CAT-029,RISK-01,FI,3208.84,110.2
DEC-00085,SND-0196,RCV-0216,CAT-036,RISK-06,SE,3245.85,111.5
DEC-00086,SND-0213,RCV-0245,CAT-043,RISK-11,DE,3282.86,112.8
DEC-00087,SND-0230,RCV-0024,CAT-050,RISK-16,PL,3319.87,114.1
DEC-00088,SND-0247,RCV-0053,CAT-057,RISK-01,NL,3356.88,115.4
DEC-00089,SND-0014,RCV-0082,CAT-064,RISK-06,CN,3393.89,116.7
DEC-00090,SND-0031,RCV-0111,CAT-071,RISK-11,US,3430.90,118.0
DEC-00091,SND-0048,RCV-0140,CAT-078,RISK-16,EE,3467.91,119.3
DEC-00092,SND-0065,RCV-0169,CAT-005,RISK-01,LV,3504.92,120.6
DEC-00093,SND-0082,RCV-0198,CAT-012,RISK-06,LT,3541.93,121.9
DEC-00094,SND-0099,RCV-0227,CAT-019,RISK-11,FI,3578.94,123.2
DEC-00095,SND-0116,RCV-0006,CAT-026,RISK-16,SE,3615.95,124.5
DEC-00096,SND-0133,RCV-0035,CAT-033,RISK-01,DE,3652.96,125.8
DEC-00097,SND-0150,RCV-0064,CAT-040,RISK-06,PL,3689.97,127.1
DEC-00098,SND-0167,RCV-0093,CAT-047,RISK-11,NL,3726.98,128.4
DEC-00099,SND-0184,RCV-0122,CAT-054,RISK-16,CN,3763.99,129.7
DEC-00100,SND-0201,RCV-0151,CAT-061,RISK-01,US,3800.00,131.0
DEC-00101,SND-0218,RCV-0180,CAT-068,RISK-06,EE,3837.01,132.3
DEC-00102,SND-0235,RCV-0209,CAT-075,RISK-11,LV,3874.02,133.6
DEC-00103,SND-0002,RCV-0238,CAT-002,RISK-16,LT,3911.03,134.9
DEC-00104,SND-0019,RCV-0017,CAT-009,RISK-01,FI,3948.04,136.2
DEC-00105,SND-0036,RCV-0046,CAT-016,RISK-06,SE,3985.05,137.5
DEC-00106,SND-0053,RCV-0075,CAT-023,RISK-11,DE,4022.06,138.8
DEC-00107,SND-0070,RCV-0104,CAT-030,RISK-16,PL,4059.07,140.1
DEC-00108,SND-0087,RCV-0133,CAT-037,RISK-01,NL,4096.08,141.4
DEC-00109,SND-0104,RCV-0162,CAT-044,RISK-06,CN,4133.09,142.7
DEC-00110,SND-0121,RCV-0191,CAT-051,RISK-11,US,4170.10,144.0
DEC-00111,SND-0138,RCV-0220,CAT-058,RISK-16,EE,4207.11,145.3
DEC-00112,SND-0155,RCV-0249,CAT-065,RISK-01,LV,4244.12,146.6
DEC-00113,SND-0172,RCV-0028,CAT-072,RISK-06,LT,4281.13,147.9
DEC-00114,SND-0189,RCV-0057,CAT-079,RISK-11,FI,4318.14,149.2
DEC-00115,SND-0206,RCV-0086,CAT-006,RISK-16,SE,4355.15,150.5
DEC-00116,SND-0223,RCV-0115,CAT-013,RISK-01,DE,4392.16,151.8
DEC-00117,SND-0240,RCV-0144,CAT-020,RISK-06,PL,4429.17,153.1
DEC-00118,SND-0007,RCV-0173,CAT-027,RISK-11,NL,4466.18,154.4
DEC-00119,SND-0024,RCV-0202,CAT-034,RISK-16,CN,4503.19,155.7
DEC-00120,SND-0041,RCV-0231,CAT-041,RISK-01,US,4540.20,157.0
DEC-00121,SND-0058,RCV-0010,CAT-048,RISK-06,EE,4577.21,158.3
DEC-00122,SND-0075,RCV-0039,CAT-055,RISK-11,LV,4614.22,159.6
DEC-00123,SND-0092,RCV-0068,CAT-062,RISK-16,LT,4651.23,160.9
DEC-00124,SND-0109,RCV-0097,CAT-069,RISK-01,FI,4688.24,162.2
DEC-00125,SND-0126,RCV-0126,CAT-076,RISK-06,SE,4725.25,163.5
DEC-00126,SND-0143,RCV-0155,CAT-003,RISK-11,DE,4762.26,164.8
DEC-00127,SND-0160,RCV-0184,CAT-010,RISK-16,PL,4799.27,166.1
DEC-00128,SND-0177,RCV-0213,CAT-017,RISK-01,NL,4836.28,167.4
DEC-00129,SND-0194,RCV-0242,CAT-024,RISK-06,CN,4873.29,168.7
DEC-00130,SND-0211,RCV-0021,CAT-031,RISK-11,US,4910.30,170.0
DEC-00131,SND-0228,RCV-0050,CAT-038,RISK-16,EE,4947.31,171.3
DEC-00132,SND-0245,RCV-0079,CAT-045,RISK-01,LV,4984.32,172.6
DEC-00133,SND-0012,RCV-0108,CAT-052,RISK-06,LT,5021.33,173.9
DEC-00134,SND-0029,RCV-0137,CAT-059,RISK-11,FI,5058.34,175.2
DEC-00135,SND-0046,RCV-0166,CAT-066,RISK-16,SE,5095.35,176.5
DEC-00136,SND-0063,RCV-0195,CAT-073,RISK-01,DE,5132.36,177.8
DEC-00137,SND-0080,RCV-0224,CAT-080,RISK-06,PL,5169.37,179.1
DEC-00138,SND-0097,RCV-0003,CAT-007,RISK-11,NL,5206.38,180.4
DEC-00139,SND-0114,RCV-0032,CAT-014,RISK-16,CN,5243.39,181.7
DEC-00140,SND-0131,RCV-0061,CAT-021,RISK-01,US,5280.40,183.0
DEC-00141,SND-0148,RCV-0090,CAT-028,RISK-06,EE,5317.41,184.3
DEC-00142,SND-0165,RCV-0119,CAT-035,RISK-11,LV,5354.42,185.6
DEC-00143,SND-0182,RCV-0148,CAT-042,RISK-16,LT,5391.43,186.9
DEC-00144,SND-0199,RCV-0177,CAT-049,RISK-01,FI,5428.44,188.2
DEC-00145,SND-0216,RCV-0206,CAT-056,RISK-06,SE,5465.45,189.5
DEC-00146,SND-0233,RCV-0235,CAT-063,RISK-11,DE,5502.46,190.8
DEC-00147,SND-0250,RCV-0014,CAT-070,RISK-16,PL,5539.47,192.1
DEC-00148,SND-0017,RCV-0043,CAT-077,RISK-01,NL,5576.48,193.4
DEC-00149,SND-0034,RCV-0072,CAT-004,RISK-06,CN,5613.49,194.7
DEC-00150,SND-0051,RCV-0101,CAT-011,RISK-11,US,5650.50,196.0
DEC-00151,SND-0068,RCV-0130,CAT-018,RISK-16,EE,5687.51,197.3
DEC-00152,SND-0085,RCV-0159,CAT-025,RISK-01,LV,5724.52,198.6
DEC-00153,SND-0102,RCV-0188,CAT-032,RISK-06,LT,5761.53,199.9
DEC-00154,SND-0119,RCV-0217,CAT-039,RISK-11,FI,5798.54,201.2
DEC-00155,SND-0136,RCV-0246,CAT-046,RISK-16,SE,5835.55,202.5
DEC-00156,SND-0153,RCV-0025,CAT-053,RISK-01,DE,5872.56,203.8
DEC-00157,SND-0170,RCV-0054,CAT-060,RISK-06,PL,5909.57,205.1
DEC-00158,SND-0187,RCV-0083,CAT-067,RISK-11,NL,5946.58,206.4
DEC-00159,SND-0204,RCV-0112,CAT-074,RISK-16,CN,5983.59,207.7
DEC-00160,SND-0221,RCV-0141,CAT-001,RISK-01,US,6020.60,209.0
DEC-00161,SND-0238,RCV-0170,CAT-008,RISK-06,EE,6057.61,210.3
DEC-00162,SND-0005,RCV-0199,CAT-015,RISK-11,LV,6094.62,211.6
DEC-00163,SND-0022,RCV-0228,CAT-022,RISK-16,LT,6131.63,212.9
DEC-00164,SND-0039,RCV-0007,CAT-029,RISK-01,FI,6168.64,214.2
DEC-00165,SND-0056,RCV-0036,CAT-036,RISK-06,SE,6205.65,215.5
DEC-00166,SND-0073,RCV-0065,CAT-043,RISK-11,DE,6242.66,216.8
DEC-00167,SND-0090,RCV-0094,CAT-050,RISK-16,PL,6279.67,218.1
DEC-00168,SND-0107,RCV-0123,CAT-057,RISK-01,NL,6316.68,219.4
DEC-00169,SND-0124,RCV-0152,CAT-064,RISK-06,CN,6353.69,220.7
DEC-00170,SND-0141,RCV-0181,CAT-071,RISK-11,US,6390.70,222.0
DEC-00171,SND-0158,RCV-0210,CAT-078,RISK-16,EE,6427.71,223.3
DEC-00172,SND-0175,RCV-0239,CAT-005,RISK-01,LV,6464.72,224.6
DEC-00173,SND-0192,RCV-0018,CAT-012,RISK-06,LT,6501.73,225.9
DEC-00174,SND-0209,RCV-0047,CAT-019,RISK-11,FI,6538.74,227.2
DEC-00175,SND-0226,RCV-0076,CAT-026,RISK-16,SE,6575.75,228.5
DEC-00176,SND-0243,RCV-0105,CAT-033,RISK-01,DE,6612.76,229.8
DEC-00177,SND-0010,RCV-0134,CAT-040,RISK-06,PL,6649.77,231.1
DEC-00178,SND-0027,RCV-0163,CAT-047,RISK-11,NL,6686.78,232.4
DEC-00179,SND-0044,RCV-0192,CAT-054,RISK-16,CN,6723.79,233.7
DEC-00180,SND-0061,RCV-0221,CAT-061,RISK-01,US,6760.80,235.0
DEC-00181,SND-0078,RCV-0250,CAT-068,RISK-06,EE,6797.81,236.3
DEC-00182,SND-0095,RCV-0029,CAT-075,RISK-11,LV,6834.82,237.6
DEC-00183,SND-0112,RCV-0058,CAT-002,RISK-16,LT,6871.83,238.9
DEC-00184,SND-0129,RCV-0087,CAT-009,RISK-01,FI,6908.84,240.2
DEC-00185,SND-0146,RCV-0116,CAT-016,RISK-06,SE,6945.85,241.5
DEC-00186,SND-0163,RCV-0145,CAT-023,RISK-11,DE,6982.86,242.8
DEC-00187,SND-0180,RCV-0174,CAT-030,RISK-16,PL,7019.87,244.1
DEC-00188,SND-0197,RCV-0203,CAT-037,RISK-01,NL,7056.88,245.4
DEC-00189,SND-0214,RCV-0232,CAT-044,RISK-06,CN,7093.89,246.7
DEC-00190,SND-0231,RCV-0011,CAT-051,RISK-11,US,7130.90,248.0
DEC-00191,SND-0248,RCV-0040,CAT-058,RISK-16,EE,7167.91,249.3
DEC-00192,SND-0015,RCV-0069,CAT-065,RISK-01,LV,7204.92,250.6
DEC-00193,SND-0032,RCV-0098,CAT-072,RISK-06,LT,7241.93,251.9
DEC-00194,SND-0049,RCV-0127,CAT-079,RISK-11,FI,7278.94,253.2
DEC-00195,SND-0066,RCV-0156,CAT-006,RISK-16,SE,7315.95,254.5
DEC-00196,SND-0083,RCV-0185,CAT-013,RISK-01,DE,7352.96,255.8
DEC-00197,SND-0100,RCV-0214,CAT-020,RISK-06,PL,7389.97,257.1
DEC-00198,SND-0117,RCV-0243,CAT-027,RISK-11,NL,7426.98,258.4
DEC-00199,SND-0134,RCV-0022,CAT-034,RISK-16,CN,7463.99,259.7
DEC-00200,SND-0151,RCV-0051,CAT-041,RISK-01,US,7500.00,261.0
DEC-00201,SND-0168,RCV-0080,CAT-048,RISK-06,EE,7537.01,262.3
DEC-00202,SND-0185,RCV-0109,CAT-055,RISK-11,LV,7574.02,263.6
DEC-00203,SND-0202,RCV-0138,CAT-062,RISK-16,LT,7611.03,264.9
DEC-00204,SND-0219,RCV-0167,CAT-069,RISK-01,FI,7648.04,266.2
DEC-00205,SND-0236,RCV-0196,CAT-076,RISK-06,SE,7685.05,267.5
DEC-00206,SND-0003,RCV-0225,CAT-003,RISK-11,DE,7722.06,268.8
DEC-00207,SND-0020,RCV-0004,CAT-010,RISK-16,PL,7759.07,270.1
DEC-00208,SND-0037,RCV-0033,CAT-017,RISK-01,NL,7796.08,271.4
DEC-00209,SND-0054,RCV-0062,CAT-024,RISK-06,CN,7833.09,272.7
DEC-00210,SND-0071,RCV-0091,CAT-031,RISK-11,US,7870.10,274.0
DEC-00211,SND-0088,RCV-0120,CAT-038,RISK-16,EE,7907.11,275.3
DEC-00212,SND-0105,RCV-0149,CAT-045,RISK-01,LV,7944.12,276.6
DEC-00213,SND-0122,RCV-0178,CAT-052,RISK-06,LT,7981.13,277.9
DEC-00214,SND-0139,RCV-0207,CAT-059,RISK-11,FI,8018.14,279.2
DEC-00215,SND-0156,RCV-0236,CAT-066,RISK-16,SE,8055.15,280.5
DEC-00216,SND-0173,RCV-0015,CAT-073,RISK-01,DE,8092.16,281.8
DEC-00217,SND-0190,RCV-0044,CAT-080,RISK-06,PL,8129.17,283.1
DEC-00218,SND-0207,RCV-0073,CAT-007,RISK-11,NL,8166.18,284.4
DEC-00219,SND-0224,RCV-0102,CAT-014,RISK-16,CN,8203.19,285.7
DEC-00220,SND-0241,RCV-0131,CAT-021,RISK-01,US,8240.20,287.0
DEC-00221,SND-0008,RCV-0160,CAT-028,RISK-06,EE,8277.21,288.3
DEC-00222,SND-0025,RCV-0189,CAT-035,RISK-11,LV,8314.22,289.6
DEC-00223,SND-0042,RCV-0218,CAT-042,RISK-16,LT,8351.23,290.9
DEC-00224,SND-0059,RCV-0247,CAT-049,RISK-01,FI,8388.24,292.2
DEC-00225,SND-0076,RCV-0026,CAT-056,RISK-06,SE,8425.25,293.5
DEC-00226,SND-0093,RCV-0055,CAT-063,RISK-11,DE,8462.26,294.8
DEC-00227,SND-0110,RCV-0084,CAT-070,RISK-16,PL,8499.27,296.1
DEC-00228,SND-0127,RCV-0113,CAT-077,RISK-01,NL,8536.28,297.4
DEC-00229,SND-0144,RCV-0142,CAT-004,RISK-06,CN,8573.29,298.7
DEC-00230,SND-0161,RCV-0171,CAT-011,RISK-11,US,8610.30,300.0
DEC-00231,SND-0178,RCV-0200,CAT-018,RISK-16,EE,8647.31,301.3
DEC-00232,SND-0195,RCV-0229,CAT-025,RISK-01,LV,8684.32,302.6
DEC-00233,SND-0212,RCV-0008,CAT-032,RISK-06,LT,8721.33,303.9
DEC-00234,SND-0229,RCV-0037,CAT-039,RISK-11,FI,8758.34,305.2
DEC-00235,SND-0246,RCV-0066,CAT-046,RISK-16,SE,8795.35,306.5
DEC-00236,SND-0013,RCV-0095,CAT-053,RISK-01,DE,8832.36,307.8
DEC-00237,SND-0030,RCV-0124,CAT-060,RISK-06,PL,8869.37,309.1
DEC-00238,SND-0047,RCV-0153,CAT-067,RISK-11,NL,8906.38,310.4
DEC-00239,SND-0064,RCV-0182,CAT-074,RISK-16,CN,8943.39,311.7
DEC-00240,SND-0081,RCV-0211,CAT-001,RISK-01,US,8980.40,313.0
DEC-00241,SND-0098,RCV-0240,CAT-008,RISK-06,EE,9017.41,314.3
DEC-00242,SND-0115,RCV-0019,CAT-015,RISK-11,LV,9054.42,315.6
DEC-00243,SND-0132,RCV-0048,CAT-022,RISK-16,LT,9091.43,316.9
DEC-00244,SND-0149,RCV-0077,CAT-029,RISK-01,FI,9128.44,318.2
DEC-00245,SND-0166,RCV-0106,CAT-036,RISK-06,SE,9165.45,319.5
DEC-00246,SND-0183,RCV-0135,CAT-043,RISK-11,DE,9202.46,320.8
DEC-00247,SND-0200,RCV-0164,CAT-050,RISK-16,PL,9239.47,322.1
DEC-00248,SND-0217,RCV-0193,CAT-057,RISK-01,NL,9276.48,323.4
DEC-00249,SND-0234,RCV-0222,CAT-064,RISK-06,CN,9313.49,324.7
DEC-00250,SND-0001,RCV-0001,CAT-071,RISK-11,US,9350.50,326.0
DEC-00251,SND-0018,RCV-0030,CAT-078,RISK-16,EE,9387.51,327.3
DEC-00252,SND-0035,RCV-0059,CAT-005,RISK-01,LV,9424.52,328.6
DEC-00253,SND-0052,RCV-0088,CAT-012,RISK-06,LT,9461.53,329.9
DEC-00254,SND-0069,RCV-0117,CAT-019,RISK-11,FI,9498.54,331.2
DEC-00255,SND-0086,RCV-0146,CAT-026,RISK-16,SE,9535.55,332.5
DEC-00256,SND-0103,RCV-0175,CAT-033,RISK-01,DE,9572.56,333.8
DEC-00257,SND-0120,RCV-0204,CAT-040,RISK-06,PL,9609.57,335.1
DEC-00258,SND-0137,RCV-0233,CAT-047,RISK-11,NL,9646.58,336.4
DEC-00259,SND-0154,RCV-0012,CAT-054,RISK-16,CN,9683.59,337.7
DEC-00260,SND-0171,RCV-0041,CAT-061,RISK-01,US,9720.60,339.0
DEC-00261,SND-0188,RCV-0070,CAT-068,RISK-06,EE,9757.61,340.3
DEC-00262,SND-0205,RCV-0099,CAT-075,RISK-11,LV,9794.62,341.6
DEC-00263,SND-0222,RCV-0128,CAT-002,RISK-16,LT,9831.63,342.9
DEC-00264,SND-0239,RCV-0157,CAT-009,RISK-01,FI,9868.64,344.2
DEC-00265,SND-0006,RCV-0186,CAT-016,RISK-06,SE,9905.65,345.5
DEC-00266,SND-0023,RCV-0215,CAT-023,RISK-11,DE,9942.66,346.8
DEC-00267,SND-0040,RCV-0244,CAT-030,RISK-16,PL,9979.67,348.1
DEC-00268,SND-0057,RCV-0023,CAT-037,RISK-01,NL,10016.68,349.4
DEC-00269,SND-0074,RCV-0052,CAT-044,RISK-06,CN,10053.69,350.7
DEC-00270,SND-0091,RCV-0081,CAT-051,RISK-11,US,10090.70,352.0
DEC-00271,SND-0108,RCV-0110,CAT-058,RISK-16,EE,10127.71,353.3
DEC-00272,SND-0125,RCV-0139,CAT-065,RISK-01,LV,10164.72,354.6
DEC-00273,SND-0142,RCV-0168,CAT-072,RISK-06,LT,10201.73,355.9
DEC-00274,SND-0159,RCV-0197,CAT-079,RISK-11,FI,10238.74,357.2
DEC-00275,SND-0176,RCV-0226,CAT-006,RISK-16,SE,10275.75,358.5
DEC-00276,SND-0193,RCV-0005,CAT-013,RISK-01,DE,10312.76,359.8
DEC-00277,SND-0210,RCV-0034,CAT-020,RISK-06,PL,10349.77,361.1
DEC-00278,SND-0227,RCV-0063,CAT-027,RISK-11,NL,10386.78,362.4
DEC-00279,SND-0244,RCV-0092,CAT-034,RISK-16,CN,10423.79,363.7
DEC-00280,SND-0011,RCV-0121,CAT-041,RISK-01,US,10460.80,365.0
DEC-00281,SND-0028,RCV-0150,CAT-048,RISK-06,EE,10497.81,366.3
DEC-00282,SND-0045,RCV-0179,CAT-055,RISK-11,LV,10534.82,367.6
DEC-00283,SND-0062,RCV-0208,CAT-062,RISK-16,LT,10571.83,368.9
DEC-00284,SND-0079,RCV-0237,CAT-069,RISK-01,FI,10608.84,370.2
DEC-00285,SND-0096,RCV-0016,CAT-076,RISK-06,SE,10645.85,371.5
DEC-00286,SND-0113,RCV-0045,CAT-003,RISK-11,DE,10682.86,372.8
DEC-00287,SND-0130,RCV-0074,CAT-010,RISK-16,PL,10719.87,374.1
DEC-00288,SND-0147,RCV-0103,CAT-017,RISK-01,NL,10756.88,375.4
DEC-00289,SND-0164,RCV-0132,CAT-024,RISK-06,CN,10793.89,376.7
DEC-00290,SND-0181,RCV-0161,CAT-031,RISK-11,US,10830.90,378.0
DEC-00291,SND-0198,RCV-0190,CAT-038,RISK-16,EE,10867.91,379.3
DEC-00292,SND-0215,RCV-0219,CAT-045,RISK-01,LV,10904.92,380.6
DEC-00293,SND-0232,RCV-0248,CAT-052,RISK-06,LT,10941.93,381.9
DEC-00294,SND-0249,RCV-0027,CAT-059,RISK-11,FI,10978.94,383.2
DEC-00295,SND-0016,RCV-0056,CAT-066,RISK-16,SE,11015.95,384.5
DEC-00296,SND-0033,RCV-0085,CAT-073,RISK-01,DE,11052.96,385.8
DEC-00297,SND-0050,RCV-0114,CAT-080,RISK-06,PL,11089.97,387.1
DEC-00298,SND-0067,RCV-0143,CAT-007,RISK-11,NL,11126.98,388.4
DEC-00299,SND-0084,RCV-0172,CAT-014,RISK-16,CN,11163.99,389.7
DEC-00300,SND-0101,RCV-0201,CAT-021,RISK-01,US,11200.00,391.0
DEC-00301,SND-0118,RCV-0230,CAT-028,RISK-06,EE,11237.01,392.3
DEC-00302,SND-0135,RCV-0009,CAT-035,RISK-11,LV,11274.02,393.6
DEC-00303,SND-0152,RCV-0038,CAT-042,RISK-16,LT,11311.03,394.9
DEC-00304,SND-0169,RCV-0067,CAT-049,RISK-01,FI,11348.04,396.2
DEC-00305,SND-0186,RCV-0096,CAT-056,RISK-06,SE,11385.05,397.5
DEC-00306,SND-0203,RCV-0125,CAT-063,RISK-11,DE,11422.06,398.8
DEC-00307,SND-0220,RCV-0154,CAT-070,RISK-16,PL,11459.07,400.1
DEC-00308,SND-0237,RCV-0183,CAT-077,RISK-01,NL,11496.08,401.4
DEC-00309,SND-0004,RCV-0212,CAT-004,RISK-06,CN,11533.09,402.7
DEC-00310,SND-0021,RCV-0241,CAT-011,RISK-11,US,11570.10,404.0
DEC-00311,SND-0038,RCV-0020,CAT-018,RISK-16,EE,11607.11,405.3
DEC-00312,SND-0055,RCV-0049,CAT-025,RISK-01,LV,11644.12,406.6
DEC-00313,SND-0072,RCV-0078,CAT-032,RISK-06,LT,11681.13,407.9
DEC-00314,SND-0089,RCV-0107,CAT-039,RISK-11,FI,11718.14,409.2
DEC-00315,SND-0106,RCV-0136,CAT-046,RISK-16,SE,11755.15,410.5
DEC-00316,SND-0123,RCV-0165,CAT-053,RISK-01,DE,11792.16,411.8
DEC-00317,SND-0140,RCV-0194,CAT-060,RISK-06,PL,11829.17,413.1
